"region_full","DU_name_short","du_number","species","gen_length","COSEWIC_status","per_change_recent","per_change_all","recent_abundance","last_year_monitored","prob_designation_recent"
"Skeena","Upper Skeena","CO28","Coho",3,"Not assessed",-28,9,14653,2017,"Not at risk"
"Nass","Portland Canal","CO29","Coho",3,"Not assessed",15,22,150052,2017,"Not at risk"
"Nass","Upper Nass","CO30","Coho",3,"Not assessed",49,15,25022,2017,"Not at risk"
"Transboundary","Unuk","CO31","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Transboundary","Lower Stikine","CO32","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Transboundary","Whiting River","CO33","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Transboundary","Taku","CO34","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Transboundary","Chilkat","CO35","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Transboundary","Alsek","CO36","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Yukon","Porcupine","CO37","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Georgia Strait Mainland","PE01","Pink",2,"Not assessed",-98,21,305368,2018,"Endangered"
"Van. Isl. Main. Inl.","East VI - Georgia Strait","PE02","Pink",2,"Not assessed",-98,21,305368,2018,"Endangered"
"Van. Isl. Main. Inl.","Southern Coastal Streams","PE03","Pink",2,"Not assessed",-94,9,1150180,2018,"Endangered"
"Van. Isl. Main. Inl.","Homathko - Klinaklini","PE04","Pink",2,"Not assessed",-94,9,1150180,2018,"Endangered"
"Van. Isl. Main. Inl.","ECVI-Johnstone Strait-S Fjords","PE05","Pink",2,"Not assessed",-94,9,1150180,2018,"Endangered"
"Van. Isl. Main. Inl.","West VI","PE06","Pink",2,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Northwest VI","PE07","Pink",2,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii","West","PE08","Pink",2,"Not assessed",271,-15,33546,2020,"Not at risk"
"Haida Gwaii","North","PE09","Pink",2,"Not assessed",557,6,2752802,2020,"Not at risk"
"Haida Gwaii","East","PE10","Pink",2,"Not assessed",665,1,2082920,2020,"Not at risk"
"Central Coast","Rivers/Smith Inlets","PE11","Pink",2,"Not assessed",123,-6,898968,2020,"Not at risk"
"Central Coast","Bella Coola/Dean ","PE12","Pink",2,"Not assessed",185,1,47499256,2020,"Not at risk"
"Central Coast","Hecate Strait Mainland","PE13","Pink",2,"Not assessed",123,-6,898968,2020,"Not at risk"
"Central Coast","Northern Coastal Streams","PE14","Pink",2,"Not assessed",185,1,47499256,2020,"Not at risk"
"Skeena","Skeena Estuary","PE15","Pink",2,"Not assessed",-29,0,1649020,2016,"Data defficient"
"Skeena","Lower Skeena","PE16","Pink",2,"Not assessed",-29,0,1649020,2016,"Data defficient"
"Skeena","Middle Skeena","PE17","Pink",2,"Not assessed",6,1,160195,2016,"Not at risk"
"Skeena","Upper Skeena","PE18","Pink",2,"Not assessed",6,1,160195,2016,"Not at risk"
"Skeena","Portland Canal","PE19","Pink",2,"Not assessed",-29,0,1649020,2016,"Data defficient"
"Fraser","Lower Fraser","PO01","Pink",2,"Not assessed",96,26,8313181,2019,"Not at risk"
"Fraser","Lillooet","PO02","Pink",2,"Not assessed",96,26,8313181,2019,"Not at risk"
"Fraser","Fraser Canyon","PO03","Pink",2,"Not assessed",96,26,8313181,2019,"Not at risk"
"Fraser","Middle Fraser","PO04","Pink",2,"Not assessed",96,26,8313181,2019,"Not at risk"
"Fraser","Upper Fraser","PO05","Pink",2,"Not assessed",96,26,8313181,2019,"Not at risk"
"Fraser","Lower Thompson","PO06","Pink",2,"Not assessed",96,26,8313181,2019,"Not at risk"
"Fraser","South Thompson","PO07","Pink",2,"Not assessed",96,26,8313181,2019,"Not at risk"
"Fraser","North Thompson","PO08","Pink",2,"Not assessed",96,26,8313181,2019,"Not at risk"
"Van. Isl. Main. Inl.","Georgia Strait Mainland","PO09","Pink",2,"Not assessed",-74,17,2592468,2019,"Endangered"
"Van. Isl. Main. Inl.","ECVI-Georgia Strait","PO10","Pink",2,"Not assessed",-87,9,108129,2019,"Endangered"
"Van. Isl. Main. Inl.","Southern Coastal Streams","PO11","Pink",2,"Not assessed",-100,-3,16766,2019,"Endangered"
"Central Coast","Homathko/Klinaklini","PO12","Pink",2,"Not assessed",-97,19,922854,2021,"Endangered"
